Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,NLR,NUKZ,URA,URNM,NLR,NUKZ,URA,URNM,NLR,NUKZ,URA,URNM,NLR,NUKZ,URA,URNM,NLR,NUKZ,URA,URNM
Date,,,,,,,,,,,,,,,,,,,,
2026-05-18,127.52999877929688,68.41000366210938,48.68000030517578,58.75,130.75,69.9800033569336,50.369998931884766,60.79999923706055,126.08000183105469,67.5199966430664,48.040000915527344,58.13999938964844,130.75,69.9800033569336,50.04999923706055,60.33000183105469,518700,173400,3970400,683500
2026-05-19,125.05999755859375,67.12999725341797,47.20000076293945,57.08000183105469,126.72000122070312,67.87000274658203,48.11000061035156,58.77000045776367,123.58000183105469,66.37000274658203,46.560001373291016,56.689998626708984,126.58999633789062,67.63999938964844,47.959999084472656,58.77000045776367,483200,131900,3571000,977900
2026-05-20,127.83999633789062,68.79000091552734,48.040000915527344,57.43000030517578,128.47000122070312,69.0,48.47999954223633,58.220001220703125,125.25,67.41000366210938,47.0099983215332,56.810001373291016,126.52999877929688,67.88999938964844,47.529998779296875,57.720001220703125,484900,98500,3032400,344400
2026-05-21,129.9499969482422,69.8499984741211,48.86000061035156,58.08000183105469,131.33999633789062,70.11000061035156,49.43000030517578,58.849998474121094,126.5,68.5999984741211,47.68000030517578,56.810001373291016,127.9000015258789,68.72000122070312,47.939998626708984,57.52000045776367,508100,104100,3413000,887600
2026-05-22,130.85000610351562,70.76000213623047,48.959999084472656,58.220001220703125,132.5800018310547,71.5989990234375,49.91999816894531,59.25,130.4199981689453,70.33000183105469,48.7599983215332,57.904998779296875,130.75,70.33999633789062,49.470001220703125,58.75,351100,94900,2792300,461600
2026-05-26,134.61000061035156,73.12999725341797,50.86000061035156,60.880001068115234,135.66000366210938,73.4800033569336,51.08000183105469,60.9900016784668,133.14999389648438,72.19000244140625,50.11000061035156,59.38999938964844,133.38999938964844,72.19000244140625,50.47999954223633,59.619998931884766,539300,119200,4310400,3967600
2026-05-27,132.52000427246094,71.83000183105469,50.15999984741211,60.47999954223633,133.6999969482422,72.4800033569336,50.5099983215332,61.15999984741211,131.3800048828125,71.41000366210938,49.279998779296875,59.5,133.41000366210938,72.4800033569336,50.27000045776367,60.189998626708984,601200,140100,3497800,525000
2026-05-28,133.30999755859375,72.0999984741211,50.75,61.349998474121094,133.97000122070312,72.94999694824219,50.959999084472656,61.67499923706055,130.5,70.71099853515625,48.970001220703125,59.07699966430664,131.22999572753906,70.94000244140625,49.380001068115234,59.994998931884766,313800,87900,3681700,547400
2026-05-29,133.3000030517578,72.33000183105469,50.7599983215332,61.279998779296875,134.11000061035156,72.56999969482422,51.15999984741211,61.70000076293945,130.11000061035156,70.93199920654297,49.459999084472656,59.619998931884766,133.02000427246094,72.20999908447266,50.70000076293945,61.029998779296875,494600,134100,3907900,611900
2026-06-01,131.85000610351562,72.25,50.540000915527344,61.13999938964844,133.67999267578125,72.93000030517578,51.209999084472656,61.95000076293945,129.5,71.25,49.099998474121094,59.698001861572266,131.42999267578125,71.9800033569336,49.97999954223633,60.65999984741211,408500,99800,3283200,297100
2026-06-02,138.1699981689453,73.86000061035156,53.41999816894531,65.33999633789062,138.24000549316406,74.26000213623047,53.5099983215332,65.56999969482422,130.1699981689453,71.88999938964844,49.77000045776367,60.0099983215332,131.25,71.88999938964844,49.9900016784668,60.81999969482422,691000,98100,7165200,1058200
2026-06-03,131.8300018310547,71.94999694824219,50.38999938964844,61.459999084472656,137.14999389648438,73.55999755859375,52.68000030517578,64.9800033569336,131.08999633789062,71.51499938964844,49.880001068115234,61.125,137.14999389648438,73.55999755859375,52.68000030517578,64.9800033569336,539900,101000,5017600,768300
2026-06-04,131.57000732421875,72.26000213623047,50.279998779296875,61.04999923706055,132.1300048828125,72.50299835205078,50.63999938964844,61.75,129.7899932861328,71.4000015258789,49.52000045776367,60.29999923706055,131.14999389648438,71.52999877929688,50.13999938964844,61.20000076293945,385500,101900,2538800,562100
2026-06-05,122.11000061035156,68.27999877929688,45.310001373291016,55.279998779296875,130.42999267578125,71.30000305175781,49.45000076293945,60.400001525878906,121.7300033569336,67.54000091552734,44.970001220703125,55.14400100708008,130.27999877929688,71.30000305175781,49.29999923706055,60.38999938964844,703000,205400,7618000,1277200
2026-06-08,123.22000122070312,68.4000015258789,45.91999816894531,55.779998779296875,125.5,69.7300033569336,46.83000183105469,57.400001525878906,122.61000061035156,68.0,45.7599983215332,55.66299819946289,124.97000122070312,69.05999755859375,46.65999984741211,56.970001220703125,638100,89500,2910600,643000
2026-06-09,119.55000305175781,67.0999984741211,44.119998931884766,53.75,123.97000122070312,68.98999786376953,46.400001525878906,56.310001373291016,116.27999877929688,65.0,42.41999816894531,51.97999954223633,123.97000122070312,68.81999969482422,46.290000915527344,56.310001373291016,849000,148000,6646700,809400
2026-06-10,115.5199966430664,64.68000030517578,42.349998474121094,51.470001220703125,120.08000183105469,67.0,44.47999954223633,53.83000183105469,115.18000030517578,64.44999694824219,42.22999954223633,51.290000915527344,119.0,66.4000015258789,43.90999984741211,53.27000045776367,796700,127900,5642200,590900
2026-06-11,120.94000244140625,67.23999786376953,44.83000183105469,54.290000915527344,121.44000244140625,67.5999984741211,44.93000030517578,54.459999084472656,116.05000305175781,65.11000061035156,42.599998474121094,52.040000915527344,117.26000213623047,65.3499984741211,42.790000915527344,52.15999984741211,677900,125100,4815700,787300
2026-06-12,121.94999694824219,68.30999755859375,45.52000045776367,54.58000183105469,123.22000122070312,68.69999694824219,45.9900016784668,55.18000030517578,120.66000366210938,67.51000213623047,44.84000015258789,53.808998107910156,121.16000366210938,67.66999816894531,45.209999084472656,54.189998626708984,281800,89900,3103400,383000
2026-06-15,126.01000213623047,70.22000122070312,48.060001373291016,57.900001525878906,127.66000366210938,70.73999786376953,48.630001068115234,58.9900016784668,125.30000305175781,69.86000061035156,47.459999084472656,57.119998931884766,125.51000213623047,69.97000122070312,47.5099983215332,57.119998931884766,554500,88900,5194500,638400
2026-06-16,124.5999984741211,69.9000015258789,47.869998931884766,57.72999954223633,128.22999572753906,71.322998046875,49.41999816894531,59.25400161743164,124.54000091552734,69.77999877929688,47.470001220703125,56.880001068115234,125.47000122070312,70.16000366210938,48.2400016784668,57.84000015258789,456000,146900,2806800,384300
2026-06-17,124.6500015258789,70.05000305175781,47.099998474121094,57.08000183105469,127.79000091552734,71.55000305175781,48.709999084472656,59.45000076293945,124.31999969482422,69.77999877929688,47.02000045776367,57.04999923706055,125.51000213623047,69.97000122070312,47.79999923706055,57.939998626708984,372800,136800,2827600,329500
